District,Soil Type,Crop,Ideal Season,Average Temperature (°C),Average Rainfall (mm),Yield (tons/acre)
KRISHNAGIRI,Rabi       ,Rapeseed &Mustard,103,19.44084326,148.8398374
KRISHNAGIRI,Whole Year ,Arecanut,80,29.84823072,134.1279669
KRISHNAGIRI,Whole Year ,Banana,89026,21.36383757,192.9036306
KRISHNAGIRI,Whole Year ,Black pepper,,26.28663931,191.2996157
KRISHNAGIRI,Whole Year ,Cashewnut,1,22.17499963,134.8370348
KRISHNAGIRI,Whole Year ,Coconut ,1581,26.57597546,143.533473
KRISHNAGIRI,Whole Year ,Coriander,43,26.58972517,178.7297725
KRISHNAGIRI,Whole Year ,Dry chillies,514,19.1345771,144.1571109
KRISHNAGIRI,Whole Year ,Garlic,6,28.75273118,182.4482352
KRISHNAGIRI,Whole Year ,Onion,601,25.78746268,224.8315729
KRISHNAGIRI,Whole Year ,Potato,1952,23.89271875,148.3003692
KRISHNAGIRI,Whole Year ,Sugarcane,139463,28.67408774,195.4115025
KRISHNAGIRI,Whole Year ,Sweet potato,188,28.42062847,209.540094
KRISHNAGIRI,Whole Year ,Tapioca,45318,21.35499456,164.9182225
KRISHNAGIRI,Whole Year ,Turmeric,5128,21.12695586,213.9011021
KRISHNAGIRI,Kharif     ,Rice,51037,24.02037872,131.3387935
KRISHNAGIRI,Kharif     ,Small millets,2171,25.40474421,135.1272491
KRISHNAGIRI,Whole Year ,Arecanut,75,29.03017561,174.6256481
KRISHNAGIRI,Whole Year ,Arhar/Tur,1983,20.21368219,154.0621221
KRISHNAGIRI,Whole Year ,Bajra,961,29.19585548,165.8248732
KRISHNAGIRI,Whole Year ,Banana,116599,18.29783597,225.6323656
KRISHNAGIRI,Whole Year ,Black pepper,1,27.41434987,188.9252083
KRISHNAGIRI,Whole Year ,Cashewnut,10,24.84063998,221.2258168
KRISHNAGIRI,Whole Year ,Castor seed,164,29.94413861,203.9283708
KRISHNAGIRI,Whole Year ,Coconut ,2166,25.87990287,191.7723087
KRISHNAGIRI,Whole Year ,Coriander,31,20.0467711,149.2220255
KRISHNAGIRI,Whole Year ,Cotton(lint),1342,22.99451999,152.4238712
KRISHNAGIRI,Whole Year ,Dry chillies,508,25.13163619,166.5712879
KRISHNAGIRI,Whole Year ,Dry ginger,19,28.49584395,90.8022356
KRISHNAGIRI,Whole Year ,Garlic,35,18.28766124,71.29581071
KRISHNAGIRI,Whole Year ,Gram,2,24.38041875,90.75616738
KRISHNAGIRI,Whole Year ,Groundnut,23332,21.31852148,89.76050416
KRISHNAGIRI,Whole Year ,Horse-gram,10247,18.54141834,88.43618918
KRISHNAGIRI,Whole Year ,Jowar,7406,25.28710601,78.58494391
KRISHNAGIRI,Whole Year ,Maize,518,25.43459777,96.32600992
KRISHNAGIRI,Whole Year ,Moong(Green Gram),394,28.83600962,64.23026638
KRISHNAGIRI,Whole Year ,Onion,882,27.37659643,72.49800885
KRISHNAGIRI,Whole Year ,Potato,3611,28.31886863,71.94608134
KRISHNAGIRI,Whole Year ,Ragi,54163,27.4818649,71.84080724
KRISHNAGIRI,Whole Year ,Rapeseed &Mustard,48,18.28072173,79.81328183
KRISHNAGIRI,Whole Year ,Sesamum,69,27.61204997,69.91563467
KRISHNAGIRI,Whole Year ,Sugarcane,362979,23.43974653,89.799462
KRISHNAGIRI,Whole Year ,Sunflower,121,20.95628486,90.94342484
KRISHNAGIRI,Whole Year ,Sweet potato,50,23.7937153,64.02949379
KRISHNAGIRI,Whole Year ,Tapioca,78662,22.6371424,86.76287924
KRISHNAGIRI,Whole Year ,Turmeric,5851,21.53577883,69.08056728
KRISHNAGIRI,Whole Year ,Urad,442,29.87854588,86.06411872
KRISHNAGIRI,Kharif     ,Rice,47672,25.2653291,89.1188212
KRISHNAGIRI,Kharif     ,Small millets,1618,25.17885316,99.36898373
KRISHNAGIRI,Whole Year ,Arecanut,43,24.12192608,78.59595817
KRISHNAGIRI,Whole Year ,Arhar/Tur,1825,23.33565221,86.00758678
KRISHNAGIRI,Whole Year ,Bajra,661,21.74600081,93.46595573
KRISHNAGIRI,Whole Year ,Banana,103597,27.60195453,95.0191318
KRISHNAGIRI,Whole Year ,Black pepper,1,24.388717,87.54004943
KRISHNAGIRI,Whole Year ,Cashewnut,8,24.98287462,81.49543437
KRISHNAGIRI,Whole Year ,Castor seed,151,28.234829,67.05961949
KRISHNAGIRI,Whole Year ,Coconut ,2060,26.03026959,86.55517751
KRISHNAGIRI,Whole Year ,Coriander,42,28.04849594,64.61444234
KRISHNAGIRI,Whole Year ,Cotton(lint),1048,24.87425505,71.67870701
KRISHNAGIRI,Whole Year ,Dry chillies,237,23.97081395,79.56866268
KRISHNAGIRI,Whole Year ,Dry ginger,19,20.06003985,80.36146974
KRISHNAGIRI,Whole Year ,Gram,1,19.59221047,97.10087029
KRISHNAGIRI,Whole Year ,Groundnut,35449,29.77013109,88.54479121
KRISHNAGIRI,Whole Year ,Horse-gram,6218,27.52135365,88.94245493
KRISHNAGIRI,Whole Year ,Jowar,4935,25.62896213,90.42224164
KRISHNAGIRI,Whole Year ,Maize,429,20.39078312,80.96157332
KRISHNAGIRI,Whole Year ,Moong(Green Gram),231,25.39038396,84.63148859
KRISHNAGIRI,Whole Year ,Onion,1426,24.91079638,61.82980133
KRISHNAGIRI,Whole Year ,Potato,4376,27.70496805,65.0247867
KRISHNAGIRI,Whole Year ,Ragi,90351,18.06486101,90.41694635
KRISHNAGIRI,Whole Year ,Rapeseed &Mustard,36,18.13027797,81.05902285
KRISHNAGIRI,Whole Year ,Sesamum,203,23.82723528,99.93100821
KRISHNAGIRI,Whole Year ,Small millets,1618,23.19305333,91.9223468
KRISHNAGIRI,Whole Year ,Sugarcane,276158,25.08966129,75.13617229
KRISHNAGIRI,Whole Year ,Sunflower,354,25.86928193,90.4547185
KRISHNAGIRI,Whole Year ,Sweet potato,68,18.43966037,78.82199603
KRISHNAGIRI,Whole Year ,Tapioca,32305,27.14911056,80.03995829
KRISHNAGIRI,Whole Year ,Turmeric,5794,23.33375853,84.62419032
KRISHNAGIRI,Whole Year ,Urad,196,26.7230014,77.55176318
KRISHNAGIRI,Kharif     ,Rice,52303,19.55750776,86.84998693
KRISHNAGIRI,Kharif     ,Small millets,1166,26.13708256,70.65644296
KRISHNAGIRI,Whole Year ,Arecanut,15,27.99990346,62.64174227
KRISHNAGIRI,Whole Year ,Arhar/Tur,1791,29.05941162,66.48339303
KRISHNAGIRI,Whole Year ,Bajra,604,25.71269843,91.6389565
KRISHNAGIRI,Whole Year ,Banana,100063,21.79792649,84.12536744
KRISHNAGIRI,Whole Year ,Black pepper,,24.70626432,98.60457373
KRISHNAGIRI,Whole Year ,Cashewnut,7,20.94981756,67.08022574
KRISHNAGIRI,Whole Year ,Castor seed,128,24.84918386,95.4262599
KRISHNAGIRI,Whole Year ,Coconut ,1717000,21.91041045,83.46532547
KRISHNAGIRI,Whole Year ,Coriander,35,25.93381964,65.54475812
KRISHNAGIRI,Whole Year ,Cotton(lint),1052,29.82112112,91.39578861
KRISHNAGIRI,Whole Year ,Dry chillies,216,27.52185591,66.19426787
KRISHNAGIRI,Whole Year ,Dry ginger,20,27.99627907,60.65381719
KRISHNAGIRI,Whole Year ,Gram,1,20.76774783,93.51042684
KRISHNAGIRI,Whole Year ,Groundnut,26551,23.05276444,70.40557612
KRISHNAGIRI,Whole Year ,Horse-gram,8482,21.65845777,76.13090645
KRISHNAGIRI,Whole Year ,Jowar,7601,26.25070298,62.5138867
KRISHNAGIRI,Whole Year ,Maize,284,20.97195263,66.26555904
KRISHNAGIRI,Whole Year ,Moong(Green Gram),131,23.89736406,61.94626051
KRISHNAGIRI,Whole Year ,Onion,1219,24.55981624,72.82902109
KRISHNAGIRI,Whole Year ,Potato,4499,19.65690085,88.57395505
KRISHNAGIRI,Whole Year ,Ragi,80962,18.78359608,99.75336197
KRISHNAGIRI,Whole Year ,Rapeseed &Mustard,33,24.1469628,90.07326633
KRISHNAGIRI,Whole Year ,Sesamum,181,22.44581266,70.97358303
KRISHNAGIRI,Whole Year ,Small millets,1166,24.96273236,76.88582484
KRISHNAGIRI,Whole Year ,Sugarcane,270153,22.5526059,74.14169043
KRISHNAGIRI,Whole Year ,Sunflower,179,22.77035608,99.39557151
KRISHNAGIRI,Whole Year ,Sweet potato,80,19.20090378,60.79645852
KRISHNAGIRI,Whole Year ,Tapioca,52482,23.12808226,90.64770699
KRISHNAGIRI,Whole Year ,Turmeric,4920,24.92639065,80.11272117
KRISHNAGIRI,Whole Year ,Urad,241,24.77464458,97.76600619
KRISHNAGIRI,Kharif     ,Rice,64976,19.8671184,85.24963302
KRISHNAGIRI,Kharif     ,Small millets,1704,24.26601316,93.50153555
KRISHNAGIRI,Whole Year ,Arecanut,5,23.62600218,78.58488484
KRISHNAGIRI,Whole Year ,Arhar/Tur,1735,19.67832052,67.06459777
KRISHNAGIRI,Whole Year ,Bajra,759,22.36509395,69.31153566
KRISHNAGIRI,Whole Year ,Banana,78769,21.57936934,77.03421249
KRISHNAGIRI,Whole Year ,Black pepper,,18.26233221,71.85436078
KRISHNAGIRI,Whole Year ,Cardamom,,23.71028128,74.8984994
KRISHNAGIRI,Whole Year ,Cashewnut,7,22.48720144,92.23645249
KRISHNAGIRI,Whole Year ,Castor seed,98,21.6602498,69.45072055
KRISHNAGIRI,Whole Year ,Coconut ,274900,20.13037175,92.91915074
KRISHNAGIRI,Whole Year ,Coriander,88,18.41164435,81.15072105
KRISHNAGIRI,Whole Year ,Cotton(lint),2988,19.68291173,74.94136567
KRISHNAGIRI,Whole Year ,Dry chillies,278,23.20242586,91.49697481
KRISHNAGIRI,Whole Year ,Gram,1,18.92157197,63.88079866
KRISHNAGIRI,Whole Year ,Groundnut,27952,22.10621387,76.63669195
KRISHNAGIRI,Whole Year ,Horse-gram,7961,18.47412402,65.35747011
KRISHNAGIRI,Whole Year ,Jowar,15901,19.81069447,151.8869972
KRISHNAGIRI,Whole Year ,Maize,542,24.4880844,161.2469997
KRISHNAGIRI,Whole Year ,Moong(Green Gram),231,18.75927679,196.6249511
KRISHNAGIRI,Whole Year ,Onion,1531,19.54128063,175.6086697
KRISHNAGIRI,Whole Year ,Potato,11314,18.91251245,190.4242157
KRISHNAGIRI,Whole Year ,Ragi,85424,19.91330523,190.5577618
KRISHNAGIRI,Whole Year ,Rapeseed &Mustard,43,19.72620525,185.7446728
KRISHNAGIRI,Whole Year ,Sesamum,200,23.83185873,169.1168028
KRISHNAGIRI,Whole Year ,Sugarcane,205762,24.94467632,182.2685447
KRISHNAGIRI,Whole Year ,Sunflower,169,24.692258,169.3388465
KRISHNAGIRI,Whole Year ,Sweet potato,59,24.72485577,150.2498675
KRISHNAGIRI,Whole Year ,Tapioca,44567,20.12644921,189.4263485
KRISHNAGIRI,Whole Year ,Turmeric,7256,21.02432943,199.8362913
KRISHNAGIRI,Whole Year ,Urad,320,22.40423537,151.4935635
KRISHNAGIRI,Kharif     ,Arhar/Tur,5068,20.33691147,195.8645552
KRISHNAGIRI,Kharif     ,Castor seed,141,24.24779615,164.2697011
KRISHNAGIRI,Kharif     ,Cotton(lint),3686,24.81530144,164.4970373
KRISHNAGIRI,Kharif     ,Groundnut,34790,19.66329768,191.9649389
KRISHNAGIRI,Kharif     ,Horse-gram,5914,22.43377991,169.8391177
KRISHNAGIRI,Kharif     ,Maize,915,22.92052307,181.2783964
KRISHNAGIRI,Kharif     ,Moong(Green Gram),488,22.91843172,153.8990984
KRISHNAGIRI,Kharif     ,Ragi,94143,24.88244467,174.7876411
KRISHNAGIRI,Kharif     ,Rice,70126,23.40981539,173.1017097
KRISHNAGIRI,Kharif     ,Sunflower,98,21.20725375,151.9035477
KRISHNAGIRI,Kharif     ,Urad,265,18.20230419,184.9800516
KRISHNAGIRI,Rabi       ,Gram,4,22.34375696,197.1220049
KRISHNAGIRI,Whole Year ,Sugarcane,189702,24.32770134,174.5071843
KRISHNAGIRI,Kharif     ,Bajra,734,19.75088482,168.7848886
KRISHNAGIRI,Kharif     ,Cotton(lint),3941,19.86173586,183.8270791
KRISHNAGIRI,Kharif     ,Groundnut,43554,18.07132963,180.1237765
KRISHNAGIRI,Kharif     ,Jowar,10569,23.89162561,186.2337571
KRISHNAGIRI,Kharif     ,Maize,5205,23.98598756,150.3166152
KRISHNAGIRI,Kharif     ,Ragi,110866,20.93892916,162.2847429
KRISHNAGIRI,Kharif     ,Rice,91443,20.82210727,199.4766779
KRISHNAGIRI,Rabi       ,Bajra,15,20.86474944,184.4633281
KRISHNAGIRI,Rabi       ,Cotton(lint),429,24.45840036,159.5718087
KRISHNAGIRI,Rabi       ,Groundnut,4640,24.51147697,167.7230632
KRISHNAGIRI,Rabi       ,Jowar,146,24.56811204,196.6587013
KRISHNAGIRI,Rabi       ,Maize,213,24.63228709,166.1365886
KRISHNAGIRI,Rabi       ,Ragi,7102,20.07386547,153.6390212
KRISHNAGIRI,Rabi       ,Rapeseed &Mustard,65,21.80523051,175.572958
KRISHNAGIRI,Whole Year ,Arecanut,43,22.8122645,197.2101782
KRISHNAGIRI,Whole Year ,Arhar/Tur,4938,22.73031253,196.469984
KRISHNAGIRI,Whole Year ,Banana,77252,23.2801227,166.2160846
KRISHNAGIRI,Whole Year ,Black pepper,,19.30106297,179.1630865
KRISHNAGIRI,Whole Year ,Cashewnut,2,19.0087067,166.6415254
KRISHNAGIRI,Whole Year ,Castor seed,163,24.35193812,150.6326874
KRISHNAGIRI,Whole Year ,Coconut ,297200000,24.72235539,163.3488091
KRISHNAGIRI,Whole Year ,Coriander,90,21.92513945,186.6898282
KRISHNAGIRI,Whole Year ,Dry chillies,162,24.83954414,176.1516409
KRISHNAGIRI,Whole Year ,Gram,6,18.09691127,168.0432282
KRISHNAGIRI,Whole Year ,Horse-gram,11087,20.24104904,155.3851533
KRISHNAGIRI,Whole Year ,Moong(Green Gram),1103,23.22594,193.2418382
KRISHNAGIRI,Whole Year ,Onion,1022,23.50128217,160.6217342
KRISHNAGIRI,Whole Year ,Potato,6576,19.44623085,182.2582277
KRISHNAGIRI,Whole Year ,Small millets,2548,20.51343484,152.6194403
KRISHNAGIRI,Whole Year ,Sugarcane,230235,18.90223032,181.2915605
KRISHNAGIRI,Whole Year ,Sunflower,145,18.90592319,189.9711184
KRISHNAGIRI,Whole Year ,Sweet potato,369,22.63045168,177.2233048
KRISHNAGIRI,Whole Year ,Tapioca,49753,19.38603815,159.9210934
KRISHNAGIRI,Whole Year ,Tobacco,8,24.38318965,187.1735424
KRISHNAGIRI,Whole Year ,Turmeric,9495,23.77989026,169.4168014
KRISHNAGIRI,Whole Year ,Urad,2007,22.59890174,188.6372826
KRISHNAGIRI,Kharif     ,Arhar/Tur,10948,24.37766782,153.7447398
KRISHNAGIRI,Kharif     ,Castor seed,268.91,20.89273273,167.0576456
KRISHNAGIRI,Kharif     ,Cotton(lint),4003,18.09903225,192.2316221
KRISHNAGIRI,Kharif     ,Groundnut,34859,20.00218987,154.8390847
KRISHNAGIRI,Kharif     ,Horse-gram,8068,19.85139326,185.25947
KRISHNAGIRI,Kharif     ,Maize,3418,21.25433607,192.4931257
KRISHNAGIRI,Kharif     ,Moong(Green Gram),473,23.65374106,176.5268267
KRISHNAGIRI,Kharif     ,Ragi,80401,23.88404783,195.7571622
KRISHNAGIRI,Kharif     ,Rice,72186,29.36792366,156.3616174
KRISHNAGIRI,Kharif     ,Sunflower,10,27.33368994,157.1215052
KRISHNAGIRI,Kharif     ,Urad,2381,27.40053601,175.1742112
KRISHNAGIRI,Rabi       ,Gram,4,29.3159075,154.8238864
KRISHNAGIRI,Whole Year ,Sugarcane,105896,26.05433004,153.9199807
KRISHNAGIRI,Kharif     ,Bajra,1477,25.86632408,169.9288234
KRISHNAGIRI,Kharif     ,Castor seed,329,27.00932084,176.8604109
KRISHNAGIRI,Kharif     ,Cotton(lint),5802,29.55054817,176.103677
KRISHNAGIRI,Kharif     ,Groundnut,30334,26.28845991,183.4065252
KRISHNAGIRI,Kharif     ,Horse-gram,540,29.16226551,160.0889553
KRISHNAGIRI,Kharif     ,Jowar,7108,28.65003945,171.4892533
KRISHNAGIRI,Kharif     ,Maize,21441,29.07311132,193.1007598
KRISHNAGIRI,Kharif     ,Moong(Green Gram),1037,28.08166093,171.4716375
KRISHNAGIRI,Kharif     ,Onion,733,27.1994597,157.8548562
KRISHNAGIRI,Kharif     ,Potato,11740,28.05484146,190.312216
KRISHNAGIRI,Kharif     ,Ragi,127728,25.14748006,152.9801697
KRISHNAGIRI,Kharif     ,Rice,143404,25.94019018,199.3355744
KRISHNAGIRI,Kharif     ,Urad,3259,27.66752761,187.3096148
KRISHNAGIRI,Rabi       ,Bajra,102,25.56703012,180.2513601
KRISHNAGIRI,Rabi       ,Cotton(lint),408,28.6956201,172.6442654
KRISHNAGIRI,Rabi       ,Groundnut,4336,26.33544853,193.7141828
KRISHNAGIRI,Rabi       ,Horse-gram,17215,25.93730186,184.7674863
KRISHNAGIRI,Rabi       ,Jowar,28,25.13686519,193.8778713
KRISHNAGIRI,Rabi       ,Maize,790,27.50527651,150.2355238
KRISHNAGIRI,Rabi       ,Moong(Green Gram),66,26.21009246,177.5147313
KRISHNAGIRI,Rabi       ,Onion,305,29.10403455,154.6608736
KRISHNAGIRI,Rabi       ,Potato,34272,29.2440638,190.7886386
KRISHNAGIRI,Rabi       ,Ragi,26083,25.56202173,190.9684885
KRISHNAGIRI,Rabi       ,Rapeseed &Mustard,131,26.3985515,159.3223075
KRISHNAGIRI,Rabi       ,Urad,310,28.09577643,191.6549412
KRISHNAGIRI,Whole Year ,Arecanut,99,27.84767901,144.6861336
KRISHNAGIRI,Whole Year ,Arhar/Tur,8520,27.39341554,136.7325092
KRISHNAGIRI,Whole Year ,Banana,38211,25.14517635,147.2757818
KRISHNAGIRI,Whole Year ,Cashewnut,1,28.65456263,122.2103248
KRISHNAGIRI,Whole Year ,Coconut ,284600000,29.16093424,139.3670753
KRISHNAGIRI,Whole Year ,Coriander,543,27.57278064,164.4971875
KRISHNAGIRI,Whole Year ,Dry chillies,178,25.40909896,129.8765443
KRISHNAGIRI,Whole Year ,Small millets,1180,25.99069521,122.8392822
KRISHNAGIRI,Whole Year ,Sugarcane,81194,26.29039046,171.3764462
KRISHNAGIRI,Whole Year ,Tapioca,9089,29.14827211,140.6305213
KRISHNAGIRI,Whole Year ,Turmeric,3899,26.59743595,189.0944824
MADURAI,Kharif     ,Banana,54752,25.36059237,165.6872119
MADURAI,Kharif     ,Horse-gram,60,29.12036889,135.1386537
MADURAI,Kharif     ,Onion,7011,27.53911354,148.9812525
MADURAI,Kharif     ,Sesamum,550,29.66727337,135.0119649
MADURAI,Kharif     ,Small millets,1150,25.05802193,161.8944624
MADURAI,Whole Year ,Arhar/Tur,750,25.86824781,175.7260273
MADURAI,Whole Year ,Bajra,1290,25.85036988,194.1755471
MADURAI,Whole Year ,Banana,139430,26.51682337,124.2261737
MADURAI,Whole Year ,Cashewnut,140,28.66725136,195.7733251
MADURAI,Whole Year ,Coriander,120,28.14938935,190.2257843
MADURAI,Whole Year ,Cotton(lint),8580,26.42313317,196.2736367
MADURAI,Whole Year ,Dry chillies,370,26.59386409,148.6977358
MADURAI,Whole Year ,Gram,10,27.71822477,144.6576424
MADURAI,Whole Year ,Groundnut,16580,28.98333432,180.5059257
MADURAI,Whole Year ,Jowar,8860,29.42017919,192.4280381
MADURAI,Whole Year ,Maize,620,27.39872329,167.4358075
MADURAI,Whole Year ,Moong(Green Gram),1610,26.4020227,191.3980675
MADURAI,Whole Year ,Pulses total,3400,27.81251452,117.3113562
MADURAI,Whole Year ,Ragi,720,25.19640218,197.6439711
MADURAI,Whole Year ,Rice,314380,28.31193338,119.6324109
MADURAI,Whole Year ,Small millets,20,25.90113128,126.1752206
MADURAI,Whole Year ,Sugarcane,18223000,27.48612983,120.6494434
MADURAI,Whole Year ,Sunflower,860,29.38254012,191.4508931
MADURAI,Whole Year ,Sweet potato,1350,29.22118628,117.9389993
MADURAI,Whole Year ,Tapioca,2100,27.09062164,168.2644287
MADURAI,Whole Year ,Total foodgrain,332710,26.12643374,115.1564012
MADURAI,Whole Year ,Turmeric,40,29.01207743,122.6847408
MADURAI,Whole Year ,Urad,580,27.96799119,176.9020924
MADURAI,Kharif     ,Arhar/Tur,4465,28.0764455,124.4135035
MADURAI,Kharif     ,Bajra,6225,25.16278237,148.3771202
MADURAI,Kharif     ,Cotton(lint),26970,20.87974371,181.6368274
MADURAI,Kharif     ,Groundnut,25578,21.77046169,153.477776
MADURAI,Kharif     ,Horse-gram,77,23.00445915,193.7461968
MADURAI,Kharif     ,Jowar,14981,26.49109635,190.2440566
MADURAI,Kharif     ,Maize,2066,20.13017482,199.4735636
MADURAI,Kharif     ,Moong(Green Gram),7159,23.05804872,139.8619431
MADURAI,Kharif     ,Pulses total,14426,22.70883798,133.1120232
MADURAI,Kharif     ,Ragi,408,20.27774362,156.1543898
MADURAI,Kharif     ,Rice,303471,24.51588066,139.5013171
MADURAI,Kharif     ,Sesamum,2390,23.22397386,196.6492664
MADURAI,Kharif     ,Small millets,3300,26.52723513,130.6377143
MADURAI,Kharif     ,Sunflower,746,23.97898217,130.3797119
MADURAI,Kharif     ,Total foodgrain,34880,26.80079604,192.8736822
MADURAI,Kharif     ,Urad,1684,24.01497622,177.816092
MADURAI,Rabi       ,Gram,21,25.66585205,161.5279095
MADURAI,Whole Year ,Banana,142723,24.28209415,122.4073418
MADURAI,Whole Year ,Cashewnut,88,21.58711777,168.8383605
MADURAI,Whole Year ,Castor seed,57,23.79391957,184.4103931
MADURAI,Whole Year ,Coriander,257,21.8652524,177.3176161
MADURAI,Whole Year ,Dry chillies,335,23.57943626,152.0616227
MADURAI,Whole Year ,Onion,2934,21.32504158,121.5586297
MADURAI,Whole Year ,Sugarcane,3059430,25.15745531,156.1457255
MADURAI,Whole Year ,Sweet potato,359,21.94766735,171.6976946
MADURAI,Whole Year ,Tapioca,74,21.0525355,185.1568059
MADURAI,Whole Year ,Turmeric,6,23.48381344,163.2708732
MADURAI,Kharif     ,Arhar/Tur,1309,25.0756354,175.3723314
MADURAI,Kharif     ,Bajra,5803,26.35927159,147.8035305
MADURAI,Kharif     ,Castor seed,17,24.52922681,192.7121236
MADURAI,Kharif     ,Cotton(lint),14907,20.77576147,193.5866233
MADURAI,Kharif     ,Groundnut,15134,22.30157427,115.2325531
MADURAI,Kharif     ,Horse-gram,93,21.44653958,161.3432535
MADURAI,Kharif     ,Jowar,14975,22.17931888,163.6269496
MADURAI,Kharif     ,Korra,33,24.52783742,129.5481144
MADURAI,Kharif     ,Maize,1971,20.26707606,192.4288139
MADURAI,Kharif     ,Moong(Green Gram),5183,25.7354293,136.3027766
MADURAI,Kharif     ,Ragi,254,26.79533926,162.5769606
MADURAI,Kharif     ,Rice,331342,26.75754171,171.8839938
MADURAI,Kharif     ,Sesamum,1452,23.86330467,194.8773479
MADURAI,Kharif     ,Sunflower,645,21.01944696,134.6803969
MADURAI,Kharif     ,Urad,1057,24.17298839,158.8608887
MADURAI,Kharif     ,Varagu,560,22.78133816,126.8073984
MADURAI,Rabi       ,Gram,58,25.62980105,137.7044047
MADURAI,Rabi       ,Samai,458,25.59704938,143.9955548
MADURAI,Whole Year ,Banana,54752,23.83067496,156.6810374
MADURAI,Whole Year ,Cashewnut,123,26.31355498,145.105065
MADURAI,Whole Year ,Coriander,87,24.8972823,142.8610793
MADURAI,Whole Year ,Dry chillies,434,24.958779,153.1201644
MADURAI,Whole Year ,Guar seed,105080,23.24113501,186.1728203
MADURAI,Whole Year ,Onion,7011,21.66628296,141.4831644
MADURAI,Whole Year ,Sugarcane,863190,24.63544858,181.4170812
MADURAI,Whole Year ,Sweet potato,461,23.43121862,188.5506536
MADURAI,Whole Year ,Tapioca,887,20.0454142,183.468585
MADURAI,Whole Year ,Turmeric,11,23.85724032,166.2549307
MADURAI,Kharif     ,Arhar/Tur,1273,21.97199397,177.7745075
MADURAI,Kharif     ,Bajra,5119,26.22916897,127.92461
MADURAI,Kharif     ,Castor seed,14,23.44676801,173.3228386
MADURAI,Kharif     ,Cotton(lint),12635,25.65553461,127.1752928
MADURAI,Kharif     ,Groundnut,10661,24.44345477,140.9370415
MADURAI,Kharif     ,Horse-gram,55,20.2801937,202.9355362
MADURAI,Kharif     ,Jowar,10923,21.7238313,226.6555374
MADURAI,Kharif     ,Maize,1123,20.41447029,263.9642476
MADURAI,Kharif     ,Moong(Green Gram),2822,25.75528612,242.8640342
MADURAI,Kharif     ,Other Cereals & Millets,700,20.61521424,262.7173405
MADURAI,Kharif     ,Other Kharif pulses,703,21.84106875,251.0549998
MADURAI,Kharif     ,Ragi,237,20.08369642,271.3248604
MADURAI,Kharif     ,Rice,327017,24.45802087,241.9741949
MADURAI,Kharif     ,Sesamum,1238,21.14347496,230.4462359
MADURAI,Kharif     ,Sunflower,277,25.78720567,221.2091958
MADURAI,Kharif     ,Urad,1460,23.64124821,264.6148697
MADURAI,Whole Year ,Banana,48810,23.43191632,250.0832336
MADURAI,Whole Year ,Cashewnut,38,24.97669518,284.4364567
MADURAI,Whole Year ,Coriander,15,22.72791041,185.2773389
MADURAI,Whole Year ,Dry chillies,193,24.87300744,209.5869708
MADURAI,Whole Year ,Onion,4052,21.32376327,231.0863347
MADURAI,Whole Year ,Sugarcane,741840,26.29465461,276.6552459
MADURAI,Whole Year ,Sweet potato,546,22.2286982,206.2611855
MADURAI,Whole Year ,Tapioca,2590,26.73072391,224.5550169
MADURAI,Whole Year ,Turmeric,125,24.88921174,291.2986618
MADURAI,Kharif     ,Arhar/Tur,1210,26.88444878,185.4974732
MADURAI,Kharif     ,Bajra,2590,22.67846116,231.3843163
MADURAI,Kharif     ,Cotton(lint),9220,26.08867875,213.3560921
MADURAI,Kharif     ,Groundnut,11740,25.42977518,233.1075816
MADURAI,Kharif     ,Jowar,13910,26.40323239,224.0581164
MADURAI,Kharif     ,Moong(Green Gram),2600,26.04371967,257.0038865
MADURAI,Kharif     ,Ragi,270,25.2827223,271.3586137
MADURAI,Kharif     ,Rice,271590,22.08576562,260.2634026
MADURAI,Kharif     ,Sesamum,630,23.28617173,240.0810647
MADURAI,Kharif     ,Sunflower,140,25.48591986,197.9791215
MADURAI,Kharif     ,Urad,550,23.67575393,272.2017204
MADURAI,Whole Year ,Sugarcane,636000,20.82477109,200.0882787
MADURAI,Kharif     ,Arhar/Tur,633,26.92995077,224.6757231
MADURAI,Kharif     ,Bajra,4390,23.83509503,270.4417274
MADURAI,Kharif     ,Castor seed,8,26.52872817,233.1321372
MADURAI,Kharif     ,Cotton(lint),6153,26.46428311,193.3473987
MADURAI,Kharif     ,Groundnut,6821,22.69657794,272.2999056
MADURAI,Kharif     ,Horse-gram,38,22.68319059,285.2493645
MADURAI,Kharif     ,Jowar,9313,21.53346343,298.4018471
MADURAI,Kharif     ,Korra,7,21.40865769,257.0343554
MADURAI,Kharif     ,Maize,1233,26.54348085,248.7183228
MADURAI,Kharif     ,Moong(Green Gram),1843,23.35905428,209.9001977
MADURAI,Kharif     ,Other Kharif pulses,401,22.61359953,200.834898
MADURAI,Kharif     ,Ragi,312,26.10018422,298.5601175
MADURAI,Kharif     ,Rice,112171,23.55882094,265.5355937
MADURAI,Kharif     ,Samai,61,19.97215954,183.6793207
MADURAI,Kharif     ,Sesamum,241,18.47891261,196.9560008
MADURAI,Kharif     ,Small millets,2422,21.77689322,233.0453455
MADURAI,Kharif     ,Sunflower,140,25.6217169,210.8142087
MADURAI,Kharif     ,Urad,1469,25.19192419,253.7202781
MADURAI,Kharif     ,Varagu,129,20.41683147,219.9048349
MADURAI,Rabi       ,Gram,86,24.92162194,208.5810155
